Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
Regional Express Holdings Limited (ASX:REX),ASX:REX,Air Transport,Australia,"Australia, NZ and Canada",Australia & NZ
Regis Healthcare Limited (ASX:REG),ASX:REG,Hospitals/Healthcare Facilities,Australia,"Australia, NZ and Canada",Australia & NZ
Regis Resources Limited (ASX:RRL),ASX:RRL,Precious Metals,Australia,"Australia, NZ and Canada",Australia & NZ
Regulus Resources Inc. (TSXV:REG),TSXV:REG,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Reitmans Canada Ltd. (TSX:RET.A),TSX:RET.A,Retail (Special Lines),Canada,"Australia, NZ and Canada",Canada
Reko International Group Inc. (TSXV:REK),TSXV:REK,Machinery,Canada,"Australia, NZ and Canada",Canada
Relentless Resources Ltd (TSXV:RRL),TSXV:RRL,Oil/Gas (Production and Exploration),Canada,"Australia, NZ and Canada",Canada
Relevium Technologies Inc. (TSXV:RLV),TSXV:RLV,Healthcare Products,Canada,"Australia, NZ and Canada",Canada
"ReliaBrand, Inc. (OTCPK:RLIA)",OTCPK:RLIA,Household Products,Canada,"Australia, NZ and Canada",Canada
Reliance Resources Ltd. (TSXV:RI),TSXV:RI,Precious Metals,Canada,"Australia, NZ and Canada",Canada
Reliant Financial Service Corp. (OTCPK:RFNS),OTCPK:RFNS,Financial Svcs. (Non-bank & Insurance),Canada,"Australia, NZ and Canada",Canada
Remington Resources Inc. (TSXV:RGM),TSXV:RGM,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Remo Resources Inc. (TSXV:RER),TSXV:RER,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Renaissance Minerals Limited (ASX:RNS),ASX:RNS,Precious Metals,Australia,"Australia, NZ and Canada",Australia & NZ
Renaissance Oil Corp. (TSXV:ROE),TSXV:ROE,Oil/Gas (Production and Exploration),Canada,"Australia, NZ and Canada",Canada
Renascor Resources Limited (ASX:RNU),ASX:RNU,Coal & Related Energy,Australia,"Australia, NZ and Canada",Australia & NZ
Renforth Resources Inc. (CNSX:RFR),CNSX:RFR,Precious Metals,Canada,"Australia, NZ and Canada",Canada
Reno Gold Corporation (OTCPK:RNGG),OTCPK:RNGG,Precious Metals,Canada,"Australia, NZ and Canada",Canada
Renoworks Software Inc. (TSXV:RW),TSXV:RW,Software (System & Application),Canada,"Australia, NZ and Canada",Canada
Rent.com.au Limited (ASX:RNT),ASX:RNT,Software (Internet),Australia,"Australia, NZ and Canada",Australia & NZ
RepliCel Life Sciences Inc. (OTCPK:REPC.F),OTCPK:REPC.F,Heathcare Information and Technology,Canada,"Australia, NZ and Canada",Canada
Reproductive Health Science Limited (ASX:RHS),ASX:RHS,Drugs (Biotechnology),Australia,"Australia, NZ and Canada",Australia & NZ
Resaas Services Inc. (OTCPK:RSAS.F),OTCPK:RSAS.F,Software (Internet),Canada,"Australia, NZ and Canada",Canada
ResApp Health Limited (ASX:RAP),ASX:RAP,Heathcare Information and Technology,Australia,"Australia, NZ and Canada",Australia & NZ
Reservoir Capital Corp (TSXV:REO),TSXV:REO,Green & Renewable Energy,Canada,"Australia, NZ and Canada",Canada
Reservoir Minerals Inc. (TSXV:RMC),TSXV:RMC,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Resolute Forest Products Inc. (NYSE:RFP),NYSE:RFP,Paper/Forest Products,Canada,"Australia, NZ and Canada",Canada
Resolute Mining Limited (ASX:RSG),ASX:RSG,Precious Metals,Australia,"Australia, NZ and Canada",Australia & NZ
Resonance Health Ltd. (ASX:RHT),ASX:RHT,Healthcare Products,Australia,"Australia, NZ and Canada",Australia & NZ
